Study,Study_ID.x,Publication_Year,Type_of_publication,Study_design,Country,Geographical_Context,decade,teacher_type,teacher_count,other_teachers,male,female,gender_NR,White,Black,hispanic,API,american_indian,asian,european,multiracial,race_NR,teacher_age,teaching_years,Teacher_Language_Sample_Teacher_Notes,class_type,total_students,HID_students,avg_group,Were_there_additional_students_in_the_study_sample_outside_of_those_in_the_teacher_language_sample?,primary_HID,HID,disability_status,grade,content,1_Language_Label,1_Study_Definition,1_rate_or_%_of_language_(avg),2_Language_Label,2_Study_Definition,2_rate_or_%_of_language_(avg),3_Language_Label,3_Study_Definition,3_rate_or_%_of_language_(avg),4_Language_Label,4_Study_Definition,4_rate_or_%_of_language_(avg),5_Language_Label,5_Study_Definition,5_rate_or_%_of_language_(avg),6_Language_Label,6_Study_Definition,6_rate_or_%_of_language_(avg),7_Language_Label,7_Study_Definition,7_rate_or_%_of_language_(avg),8_Language_Label,8_Study_Definition,8_rate_or_%_of_language_(avg),9_Language_Label,9_Study_Definition,9_rate_or_%_of_language_(avg),10_Language_Label,10_Study_Definition,10_rate_or_%_of_language_(avg),language_type,language_whom,session_number,session_duration,observation_span,coding_method,sampling_1,sampling_2,coding_system,system_name,Baseline,Receiver,What_was_the_focus_of_the_intervention?,Student_Outcomes,Outcome_Measured,Teacher_Demo,Observational_Measurement,Coder_Training,Teacher_Language,Reliability_Reporting,Reliability_Levels,total_quality,methods_quality
71,Okolo 2007,2007,Published study,Qualitative,1 United States,1 Urban,2000,1 general education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,,,Inclusion,63,13,31,No,No primary,Learning disability; Attention deficit hyperactivity disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Social Studies,,,97,,"repeating or para-
phrasing it and then adding additional
information relevant to the topic",.54/min,evaluation,an evaluative comment about the relevance or accuracy of the student’s response or about the appropriateness of his or her behavior.,.65/min,question/prompt,"question or prompt for students to improve their response by clarifying it,
expanding it, or being more specific.",.36/min,single-response- follow-up,"the teacher asked a question, a student responded, and the teacher moved on to
a different topic or question.",.51/min,multiple response-follow up,Not reported,.46/min,reprimands,Not reported,.10/min,,,,,,,,,,Dialogic teaching; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),2,42,2 months,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"IRF Initiation, Response, Feedback based on IRE, or Initiation, Response, and teacher Evaluation(Cazden, 1988)",2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,1,1,1,0,0,3,3
96,Watson 1995,1995,Published study,Descriptive,2 UK,5 Not reported,1990,2 special education teacher,4,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Alternative/Specialized,,8,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Not reported,1,,45,2,"Teachers ask pupils for justification, explanation, ask hypothetical
questions, point out inconsistency and contradiction, suggest learning strategies.",29%,category 3,"Teachers comment on pupil progress, task difficulty and provide general feedback and motivation.
",16%,category 4,"Teachers model reflective thinking, use strategies, make contributions.",6%,category 5,Teachers emphasise individuality and independence in pupils' work.,4%,category 6,"Teachers focus on peer contributions, peer assistance and peer judgements",1%,,,,,,,,,,,,,Explicit instruction; Academic feedback ; Behavioral feedback ; Questioning; Metacognitive; SEL,1 whole group ; 2 target students (pre-determined),,,Not reported,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,0,2,0,0,3,3
245,LaBarbera 2009,2009,Published study,Descriptive,1 United States,5 Not reported,2000,1 general education teacher,,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,14,,No,Autism spectrum disorder,Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,7,,Not reported,0.71%,academic speaking to whole class,Not reported,37.68%,,,,,,,,,,,,,,,,,,,,,,Undefined,1 whole group ; 3 individual students (not pre-determined),,180,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,1,0,0,0,2,2
274,Jordan 2001,2001,Published study,Correlational,3 Canada,5 Not reported,2000,1 general education teacher,9,2 no,45,55,0,0,0,0,0,0,0,0,0,100,,17,,General education,,27,,No,Learning disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA; Math; Science,,,1,,the teacher engaged the student with questions or statements about the academic material and the teacher calibrated his or her questions or statements in accordance with the student’s responses,5.11 avg count,cognitive extension - partial,"the teacher engaged the student with questions or statements about the academic material characterized by a teacher-led agenda in which the student is expected to follow
the teacher’s lead",2.56 avg count,non-academic interaction,"organisational questions and statements concerned with classroom procedures
management statements and questions concerned with student behaviours, status questions and statements, and personal interactions",20.33 avg count,academic interaction,"sum of comprehension monitoring, partial cognitive extension, and full cognitive extensions",9 avg count,,,,,,,,,,,,,,,,Dialogic teaching; Questioning; Instructional; Logistical,2 target students (pre-determined),,45,1 term,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,3 other emotional-behavioral,0,2,0,2,2,1,7,7
292,Swanson 1984,1984,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher,8,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Resource room,54,54,6,Yes,Learning disability,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8); 3 High (9-12),ELA; Reading; Math,,,,,"verbalized Questioning style, verbalized directive",Not reported,Metacognitive training and generalization,"important person, important task information, child evaluation, child model, verbalized task variation, verbalized setting variation, verbalized person variation",Not reported,,,,,,,,,,,,,,,,,,,,,,Questioning; Logistical; Metacognitive,1 whole group ; 3 individual students (not pre-determined),7,60,7 days,1 Live observation and coding,2 Intermittent,3 Interval,1 researcher developed coding system,,2 No,3 NA,,1 yes,6 oral language,0,2,2,2,2,1,9,9
305,Mesa 2023,2023,Published study,Descriptive,1 United States,5 Not reported,2020,3 paraprofessional/paraeducator/aide,94,2 no,3,97,0,77,10,0,0,0,0,0,0,14,,,,Small group,400,400,3,No,Reading disability,Reading disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),ELA,,,9,,Not reported,.03/min,nonspecific praise,Not reported,.05/min,Corrective feedback,"reactive, verbal statements that
discourage or disapprove of a students' behavior",.48/min,specific corrective feedback,Not reported,.36/min,nonspecific corrective feedback,Not reported,.12/min,proactive strategies,"included the use of Rule Review or the Token Economy.
Rule review was defined as reviewing and/or discussing the rules before or during a lesson. Token Economy was defined as referencing the token economy system",.06/min,,,,,,,,,,Explicit instruction; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),4,19,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Bertsch et al., 2017; Christopher & Farran, 2020; Floress et al., 2018; Floress & Jenkins, 2015",2 No,3 NA,,2 no,8 NA,2,2,2,1,2,0,9,7
350,Cook 2010,2010,Published study,Correlational,1 United States,1 Urban; 3 Rural; 4 Suburban,2010,1 general education teacher,14,2 no,7,92,0,100,0,0,0,0,0,0,0,0,,12,,Inclusion,304,13,21,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder; Autism spectrum disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),ELA; Math; Science; Social Studies,,,,,Not reported,Not reported,functional Instructional,Not reported,Not reported,functional nonInstructional,Not reported,Not reported,social Instructional,Not reported,Not reported,social nonInstructional,Not reported,Not reported,behavioral Instructional,Not reported,Not reported,behavioral nonInstructional,"any teacher statement to a student that referred directly
to the student’s behavior or conduct",Not reported,procedural,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Instructional; Logistical,2 target students (pre-determined),6,36,14 weeks,1 Live observation and coding,2 Intermittent,3 Interval,2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Inclusive Classroom Observation System (ICOS),2 No,3 NA,,2 no,8 NA,2,2,1,1,2,1,9,7
389,Moore 1984,1984,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher; 3 paraprofessional/paraeducator/aide,8,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,,30,,Yes,No primary,Learning disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Academics,,,54,,"disapproval, disruption, commanding, complaining, defensiveness, refusal, and threatening behavior",.17/min,neutral,"answering, Questioning, and neutral (i.e., statements which provided information but did not constitute answers to questions",3.65/min,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Questioning; Teacher talk,2 target students (pre-determined),22,7,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,1 yes,3 other emotional-behavioral,0,2,1,1,2,1,7,7
393,Dorval 1982,1982,Published study,Descriptive,1 United States,5 Not reported,1980,1 general education teacher,12,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,312,12,26,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA; Math,,,2,,"routine matters, inattentiveness, rule infraction",2.9/hr,social overture,"greeting, response to elation/distress, conversation",.15/hr,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; SEL,2 target students (pre-determined),1,,1 day,Other,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,2,1,2,2,1,8,8
425,Hollo 2017,2017,Published study,Descriptive,1 United States,5 Not reported,2010,1 general education teacher; 2 special education teacher,28,2 no,21,78,0,57,28,14,0,0,0,0,0,0,,,,General education; Special education,,124,,No,Emotional-behavioral disorder,Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),Not reported,,,,,"utterances were classified as fragments, simple, and complex. Additionally, subordination index, or the ratio of clauses to c-units were also calculated.",Not reported,content,"lexical diversity, number of different words, word frequency, function words, lexical density, and number of academic words",Not reported,clarity,"mazes, errors, and abandoned utterances were combined to form an index of disfluency. mental state verbs, figurative language, and ambiguous language were combined to form an index of abstract language.",Not reported,,,,,,,,,,,,,,,,,,,Vocabulary; Linguistic features,1 whole group ; 3 individual students (not pre-determined),3,10,Not reported,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,2,2,2,2,2,2,12,10
473,Sutton 1992,1992,Published study,Descriptive,1 United States,5 Not reported,1990,2 special education teacher,65,2 no,3,96,0,93,6,0,0,0,0,0,0,0,,,,Special education; Resource room,,,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Not reported,,,22,,teacher introduces lesson/activity - begins instruction,6.03 avg freq,teacher initiated answer (GATI),teacher gives answer to a learner's verbal action in teacher-initiated interaction,3.27 avg freq,teacher follow-up redirect (TFR),teacher reenters/redirects as follow-up response after verbal interaction,10.51 avg freq,teacher follow-up probe (TFP),teacher probes as follow-up response after verbal interaction,7.18 avg freq,teacher follow-up  redirect (TQR),Teacher re-enters/redirects when a learner does not answer,5.60 avg freq,teacher follow-up give answer (TQG),teacher gives answer when a learner does not answer,0.78 avg freq,,,,,,,,,,Dialogic teaching; Explicit instruction; Questioning; Instructional,1 whole group ; 3 individual students (not pre-determined),3,35,10 days,1 Live observation and coding,2 Intermittent,3 Interval,2 existing coding system (e.g. Brophy-Good Dyadic Interaction),"adapted Classroom Performance Record(CPR; McKinney, 1987)",2 No,3 NA,,2 no,8 NA,2,1,2,1,0,0,6,4
475,Fellers 1987,1987,Published study,Descriptive,1 United States,5 Not reported,1980,1 general education teacher,12,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,15,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,18,,any positive comment regarding the social or academic behavior of the student,.02/min (avg of rates),disapproval,"teacher comment directed at the student which criticizes, negates a behavior, or threatens student",.01/min (avg of rates),,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Logistical,2 target students (pre-determined),6,20,2 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),State Event Classroom Observation System (SECOS),2 No,3 NA,,2 no,8 NA,0,2,2,2,2,0,8,8
482,MacArthur 1986,1986,Published study,Descriptive,1 United States,5 Not reported,1980,2 special education teacher,6,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education; Alternative/Specialized,,24,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Other,,,6,,behavior management,1.25% avg of avg,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Teacher talk,2 target students (pre-determined),6,,3 weeks,1 Live observation and coding,2 Intermittent,3 Interval,1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,1,1,1,2,1,6,6
485,Slate 1986,1986,Published study,Correlational,1 United States,5 Not reported,1980,1 general education teacher,12,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,14,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Academics,,,0,,any positive comment regarding the social or academic behavior of the student.,.005/min (avg of rates),disapproval,"teacher comment directed at the student which criticizes, negates a behavior, or threatens the student",.01/min (avg of rates),,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Logistical,1 whole group ; 2 target students (pre-determined),,20,10 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,SECOS (State-Event Classroom Observation System),2 No,3 NA,,2 no,8 NA,0,2,2,2,2,0,8,8
486,Croll 1985,1985,Published study,Descriptive,2 UK,5 Not reported,1980,1 general education teacher,34,2 no,26,73,0,0,0,0,0,0,0,0,0,100,,,,General education,986,97,29,No,No primary,Learning disability; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Not reported,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teacher talk,2 target students (pre-determined),,,1 week,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,0,0,0,0,0,0,0
493,Richey 1981,1981,Published study,Descriptive,1 United States,3 Rural,1980,1 general education teacher,,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,10,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,2 target students (pre-determined),4,10,4 days,1 Live observation and coding,1 Continuous,3 Interval,3 adapted from existing coding system,Schedule for Classroom Activity Norms (SCAN),2 No,3 NA,,2 no,8 NA,0,2,1,1,0,0,4,4
546,Montague 2001,2001,Published study,Correlational,1 United States,5 Not reported,2000,1 general education teacher,16,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,16,,No,No primary,Learning disability; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Academics,,,0,,Not reported,0.06/min,neutral teacher response,Not reported,0.12/min,academic teacher response,Not reported,0.13/min,nonacademic teacher response,Not reported,0.09/min,student response opportunity,Not reported,0.21/min,,,,,,,,,,,,,Undefined,2 target students (pre-determined),2,15,2 months,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),"Brophy-Good Dyadic Interactions System (Irvine's 
modified version, 1986)",2 No,3 NA,,1 yes,3 other emotional-behavioral,0,1,2,0,2,2,7,7
550,Chow 1999,1999,Published study,Descriptive,1 United States,1 Urban,1990,1 general education teacher; 2 special education teacher; 3 paraprofessional/paraeducator/aide,7,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,Inclusion,84,34,30,No,No primary,Learning disability; Developmental language disorder; Emotional-behavioral disorder,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",1 Elementary (K-5),ELA,,,60,,verbal expressions of praise for the child’s work or good behavior,6.11% (avg of percentages),,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Instructional,3 individual students (not pre-determined),12,10,9 months,1 Live observation and coding,2 Intermittent,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,2,0,2,2,1,7,7
552,Alber 1999,1999,Published study,Single-case design- MBL,1 United States,4 Suburban,1990,1 general education teacher,2,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,4,,No,Learning disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""; 2 Formally identified- IEP or diagnosis",2 Middle (6-8),Math; Social Studies,,,0,,"statement made to a target student relating to one or more items on the student's academic assignment, answered questions about academic items, or provided corrective feedback to the student",0.037/min,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Instructional,2 target students (pre-determined),15,13,Not reported,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,2 students,recruiting teacher attention,2 no,8 NA,0,2,1,2,2,2,9,9
571,Hersh 1990,1990,Published study,Descriptive,1 United States,4 Suburban,1990,1 general education teacher; 2 special education teacher,3,2 no,33,33,33,0,0,0,0,0,0,0,0,100,,10,,General education; Resource room,66,12,22,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,2 Middle (6-8),Science; Social Studies; Other,,,28,,lesson related questions asked by the teacher without designating a specific student to answer.,25.68% (avg of %),Instructional management mand,"mands which specified or implied behaviors
which enabled the student to prepare for
instruction",18.58% (avg of %),disciplinary management mand,"mands which
attempted to correct inappropriate student
behaviors or which specified appropriate
student behaviors necessary to maintain
order in the classroom",13.52% (avg of %),housekeeping management mand,mands which specified behaviors that were appropriate for maintaining order of the classroom materials.,13.33% (avg of %),,,,,,,,,,,,,,,,Behavioral feedback ; Questioning; Instructional; Logistical,1 whole group ; 2 target students (pre-determined),24,43,6 weeks,2 Coding from video recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior,0,2,0,2,2,1,7,7
583,Siperstein 1985,1985,Published study,Quasi-experimental,1 United States,4 Suburban,1980,1 general education teacher,8,2 no,50,50,0,0,0,0,0,0,0,0,0,100,35,13,,General education,,16,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Not reported,,,,,Not reported,Not reported,corrective behavior,Not reported,Not reported,,,,,,,,,,,,,,,,,,,,,,Undefined,2 target students (pre-determined),16,15,2 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,Brophy and Good’s Teacher-Child Dyadic Interaction System (1970a),1 Yes,1 teachers,awareness program to raise teachers' awareness of differential behavior towards students,1 yes,1 engagement/on-task behavior; 6 oral language,0,2,1,0,0,0,3,3
584,Miramontes 1984,1984,Published study,Ethnographic,1 United States,5 Not reported,1980,2 special education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,,,Small group,5,5,5,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5); 2 Middle (6-8),Reading,,,13,,Not reported,11.7% of time,,,,,,,,,,,,,,,,,,,,,,,,,Questioning; Logistical,1 whole group ; 3 individual students (not pre-determined),1,30,Not reported,4 Coded from human transcription of audio/video,1 Continuous,2 Timed Event Sampling (Duration),1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,0,1,0,0,0,1,1
588,Thurlow 1984,1984,Published study,Correlational,1 United States,1 Urban; 4 Suburban,1980,1 general education teacher; 2 special education teacher,,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education; Inclusion; Special education; Resource room,,26,,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA; Reading; Writing; Math; Science; Social Studies; Other,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teacher talk,2 target students (pre-determined),,,2 days,1 Live observation and coding,2 Intermittent,3 Interval,2 existing coding system (e.g. Brophy-Good Dyadic Interaction),"Code for Instructional Structure and Student Academic Response (CISSAR) observation 
system (Greenwood, Delquadri, & Hall, 1978)",2 No,3 NA,,2 no,8 NA,0,2,0,0,2,0,4,4
589,Fontenelle 1983,1983,Published study,Single-case design- Other,1 United States,5 Not reported,1980,2 special education teacher,1,2 no,0,100,0,0,0,0,0,0,0,0,0,100,19,0,,Special education,7,7,7,No,Learning disability,Learning disability,2 Formally identified- IEP or diagnosis,2 Middle (6-8),Social Studies,,,17,,"Negative verbal feedback included remarks such as, ""I told you to shut up."" and ""That is a stupid answer"".",83%,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 2 target students (pre-determined),15,40,3 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers; 2 students,behavior management via positive reinforcement,1 yes,1 engagement/on-task behavior,0,2,1,1,2,1,7,7
590,Gable 1983,1983,Published study,Descriptive,1 United States,1 Urban; 3 Rural; 4 Suburban,1980,2 special education teacher,34,1 yes,0,0,100,0,0,0,0,0,0,0,0,100,,,,Special education,269,269,7,Yes,No primary,Learning disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,0,,"the teacher makes a critical comment, one that is clearly negative and intended to express dissatisfaction with a response",1.63,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback,1 whole group,2,5,Not reported,1 Live observation and coding,1 Continuous,3 Interval,1 researcher developed coding system,,2 No,3 NA,,2 no,8 NA,0,2,1,2,2,2,9,9
595,Chapman 1979,1979,Published study,Descriptive,1 United States,4 Suburban,1970,1 general education teacher,4,2 no,0,100,0,100,0,0,0,0,0,0,0,0,,,,General education,110,17,27,No,Learning disability,Learning disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Reading,,,,,"any interaction between the teacher and child concerning supplies and equipment, or matters concerning the child's individual needs",,work-related contacts,"any interaction involving homework, seat work or other written work assigned to the child",,behavioral contacts,"when the teacher disciplined the child or made comments regarding his classroom behavior; praise, warning, criticism",,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Logistical,1 whole group ; 3 individual students (not pre-determined),,,13 weeks,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),2 existing coding system (e.g. Brophy-Good Dyadic Interaction),Brophy-Good Teacher-Child Dyadic Interaction System,2 No,3 NA,,1 yes,7 other academic,2,1,2,1,2,0,8,6
725,McKenna 2015,2015,Published study,Correlational,1 United States,4 Suburban,2010,1 general education teacher; 2 special education teacher,11,2 no,36,63,0,63,0,27,0,0,0,0,9,0,,,,Inclusion,136,28,17,No,Learning disability,Learning disability; Reading disability; Math disability; Emotional-behavioral disorder; Other,2 Formally identified- IEP or diagnosis,3 High (9-12),ELA; Math,,,2,,teacher-provided positive statements when a desired behaviour occurred and statement was specifically linked to student behaviour,.24/min,non-specific praise,teacher providing positive statements when a desired student behaviour occurred but the statement was not specific,.39/min,,,,,,,,,,,,,,,,,,,,,,Behavioral feedback ; Questioning,1 whole group ; 3 individual students (not pre-determined),3,15,Not reported,3 Coding from audio recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,2 No,3 NA,,1 yes,1 engagement/on-task behavior,2,2,2,2,2,1,11,9
764,Sadler 1997,1997,Published study,Qualitative,2 UK,5 Not reported,1990,2 special education teacher,4,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,11,,Alternative/Specialized,22,22,5,No,Developmental language disorder,Developmental language disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),ELA,,,80,,Group-addressing moves / (pupil + group-addressing moves),19.39% (average addressing moves),teacher final move types,"enforced repetition, closed question, open question, contribution, tag contribution, phatic, management",,conversational acts,"requests, responses, directives, comments, informing, reasoning, predicting, evaluating, suggesting, joking, confirming, repairing",,teacher repair moves,"self-initiated self-repair, other initiated self-repair, self-initiated other-repair, other-initiated other-repair",,clarification requests,"nonspecific request for repetition, specific request for repetition, specific request for specification, potential request for elaboration, specific request for confirmation, you mean + specific request for confirmation",,,,,,,,,,,,,,Questioning; Undefined,1 whole group ; 3 individual students (not pre-determined),1,34,1 day,4 Coded from human transcription of audio/video,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,"Cited Wood et al. (1982), Beveridge and Conti-Ramsden (1987) and, McTear (1985) Schegloff et al.",2 No,3 NA,,1 yes,6 oral language,0,1,1,1,2,1,6,6
777,Brady 1992,1992,Published study,Quasi-experimental,1 United States,5 Not reported,1990,1 general education teacher,35,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,,,,No,Learning disability,Learning disability; Other,2 Formally identified- IEP or diagnosis,2 Middle (6-8),Science; Social Studies,,,,,"Teacher delivers academic information, instructions, or explanations. Includes lectures.",Not reported,academic corrections,Teacher corrects academic error.,Not reported,nonacademic questions,"Teacher asks organizational, or social, or other nonacademic question.",Not reported,nonacademic information,"Teacher provides social, organizing, or other nonacademic information or instructions.",Not reported,nonacademic corrections,"Teacher corrects conduct, social, or other nonacademic behavior.",Not reported,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Instructional; Logistical,2 target students (pre-determined),3,50,3 days,1 Live observation and coding,2 Intermittent,3 Interval,3 adapted from existing coding system,"Brady, Swank, Taylor and Freiberg (1988)",1 Yes,1 teachers,"increasing teachers' academic interactions and decrease the amount of class time devoted to discipline, management, off-task student behavior, and organizational activities",1 yes,1 engagement/on-task behavior,0,2,0,2,2,2,8,8
791,Thompson 1984,1982,Published study,Descriptive,1 United States,1 Urban; 5 Not reported,1980,1 general education teacher,12,2 no,0,0,100,0,0,0,0,0,0,0,0,100,,,,General education,215,43,17,No,No primary,Learning disability; Intellectual developmental disability; Emotional-behavioral disorder,2 Formally identified- IEP or diagnosis,1 Elementary (K-5),Not reported,,,1,,"academic, procedural, behavioral, sustaining",2.85; 3.20,OTR,Proportion of response opportunities which are volunteer,60.9; 42.77% (avg of %),,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback ; Questioning; Logistical; Teacher talk,2 target students (pre-determined),8,300,8; 4,1 Live observation and coding,1 Continuous,1 Event Sampling (Frequency),3 adapted from existing coding system,Brophy-Good Teacher-Child Dyadic Interaction System,2 No,3 NA,,2 no,8 NA,0,1,2,1,2,1,7,7
835,O'Keeffe 2013,2011,Published study,Single-case design- MBL,1 United States,3 Rural,2010,3 paraprofessional/paraeducator/aide,5,2 no,0,100,0,0,0,0,0,0,0,0,0,100,,3,,Small group,,,,No,Reading disability,Reading disability,"1 Not formally identified e.g. ""at-risk"" or ""struggling""",1 Elementary (K-5),Reading,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academic feedback ; Behavioral feedback,1 whole group ; 3 individual students (not pre-determined),11,5,Not reported,2 Coding from video recording,1 Continuous,1 Event Sampling (Frequency),1 researcher developed coding system,,1 Yes,1 teachers,"fidelity of reading fluency intervention, and error correction and praise rates",1 yes,1 engagement/on-task behavior; 4 reading,0,2,0,2,2,2,8,8
